Название Магазина,Номер телефона,Адрес 
Sbprofit,"+7 (495) 999-72-70, +7 (901) 575-25-68","115432, ул. Трофимова, 27, корп. 1"
Нет названия,Нет номера,Нет адресса
Scandi-style,8 (800) 201-93-96,"115114, Павелецкая наб., 2"
Only,+7 (499) 348-18-46,"109004, ул. Александра Солженицына, 27"
УльтраКомплект,+7 (916) 945-80-87,"Рябиновая ул., 41, корп. 1, стр. 6"
Легион-Групп,+7 (495) 023-62-62,"121596, ул. Горбунова, 2, стр. 46"
МП-Лофт,+7 (916) 747-09-93,"121357, Верейская ул., 29"
Лофт перегородки,+7 (495) 135-48-64,"121354, Витебская ул., 9, стр. 4"
Студия дизайна мебели Андрея Мишнёва,+7 (925) 853-83-43,"121471, Рябиновая ул., 34А"
Нет названия,Нет номера,Нет адресса
Диваны express,"8 (800) 550-36-52, +7 (495) 780-37-37","121374, Можайское ш., 2"
Окна - Домашний Проект,+7 (495) 744-08-14,"121471, Можайское ш., 25"
Уютная мебель,+7 (963) 973-14-87,"121552, Ярцевская ул., 31"
Мовейс,+7 (495) 188-28-50,"121357, Верейская ул., 29, стр. 55А"
Фан-Диван,"8 (800) 550-36-52, +7 (495) 777-48-16","121374, Можайское ш., 2"
Roooms.ru,+7 (495) 120-50-35,"121471, Рябиновая ул., 19"
DesignBoom,"8 (800) 550-74-95, +7 (495) 477-54-95","121552, Ярцевская ул., 19"
Линия дерева,"8 (800) 707-21-33, 8 (800) 707-37-94, +7 (964) 648-68-94, +7 (925) 848-86-42, +7 (495) 003-21-63","121357, ул. Генерала Дорохова, 6"
"Кехо, офис",+7 (495) 177-87-25,"121596, ул. Горбунова, 2, стр. 3"
Merel' home,8 (800) 550-92-62,"Рябиновая ул., 41, корп. 1, стр. 6"
МейкЛофт,+7 (910) 463-62-83,"121354, Витебская ул., 9, стр. 15"
Шарм Дизайн,+7 (499) 648-10-53,"121351, ул. Боженко, 14, корп. 1"
Шадо Джокер,+7 (499) 213-42-40,"119530, Очаковское ш., 40, стр. 2"
Мебель-Мол: магазин мебели из дерева,"8 (800) 201-28-43, +7 (929) 552-98-98","117342, ул. Бутлерова, 17"
Массив-Мебель.рф,+7 (929) 030-89-56,"119526, просп. Вернадского, 93"
Московская Мебельная фабрика Массив,+7 (925) 640-89-57,"117587, Кировоградская ул., 14"
ИП Лебедев,"+7 (916) 238-84-88, +7 (926) 781-80-80","117279, Профсоюзная ул., 93А"
Вендетта,+7 (917) 528-02-98,"Россия, Москва, Проектируемый проезд № 4931"
Intelligent Design,+7 (925) 094-10-90,"117218, Нахимовский просп., 24"
Уютная мебель,+7 (963) 973-14-87,"108814, ул. Липовый Парк, 5, корп. 1"
Bollu Furniture AS Art,+7 (499) 288-70-57,"115191, Духовской пер., 17, стр. 11"
Уютная мебель,+7 (963) 973-14-87,"119415, Ленинский просп., 96"
R-Interior,"+7 (985) 998-44-73, +7 (916) 633-03-10","119435, Большой Саввинский пер., 12, стр. 16"
Элит Гифт,+7 (915) 202-91-85,"117574, Профсоюзная ул., 129А"
Уютная мебель,+7 (963) 973-14-87,"Профсоюзная ул., 68, корп. 1"
Уютная мебель,+7 (963) 973-14-87,"119192, Мосфильмовская ул., 74Б"
Maxxi. pro,+7 (906) 033-81-06,"119146, Фрунзенская наб., 30"
Уютная мебель,+7 (963) 973-14-87,"117452, Чонгарский бул., 17"
Бриф ОФ тайм,"+7 (926) 724-65-64, +7 (495) 798-93-94","119021, ул. Льва Толстого, 19/2"
Шкафовщик,+7 (915) 278-27-07,"117335, ул. Гарибальди, 21, корп. 1"
"Нахимовский пр-т, д. 24",+7 (905) 554-00-90,"117218, Нахимовский просп., 24, стр. 1"
Уютная мебель,+7 (963) 973-14-87,"119285, Воробьёвское ш., 4, стр. 1"
Уютная мебель,+7 (963) 973-14-87,"119049, Мытная ул., 7, стр. 1"
Уютная мебель,+7 (963) 973-14-87,"119435, Малая Пироговская ул., 8"
Стол-маш,+7 (495) 763-44-78,"115054, Валовая ул., 26"
Интернет-магазин Ваша Комната,+7 (495) 999-36-12,"111524, Электродная ул., 2, стр. 13"
Дар-Мебель,"8 (800) 333-65-29, +7 (495) 215-56-55","111123, ш. Энтузиастов, 31, стр. 38"
Профи-М,+7 (963) 620-75-38,"119618, ул. Матросова, 1"
The Idea,+7 (499) 391-77-54,"121471, Рябиновая ул., 41, корп. 1, стр. 1"
Sunday,+7 (905) 592-54-44,"121471, Рябиновая ул., 41, корп. 1"
Столярная мастерская Lignum Lab,+7 (969) 012-34-02,"127490, Юрловский пр., 2, стр. 1"
Anderssen,"+7 (965) 445-96-51, +7 (965) 445-96-48","МКАД, 47-й километр, с20"
Мебель на заказ,+7 (915) 204-06-80,"119361, 1-й Очаковский пер., 10"
Нет названия,Нет номера,Нет адресса
"Аледан-Арт, ателье мебели","+7 (977) 898-79-67, +7 (995) 121-13-14","121471, Рябиновая ул., 34А"
Porazmeram,+7 (926) 522-95-25,"119361, Большая Очаковская ул., 19"
Мастерская мебели и предметов интерьера,+7 (977) 886-67-53,"119633, Боровское ш., 23"
Все Стулья,+7 (495) 203-27-73,"107553, Амурская ул., 1, стр. 1"
Musterring,+7 (495) 417-93-01,"121351, Полоцкая ул., 23"
MP outlet,+7 (985) 870-22-22,"Рябиновая ул., 41, корп. 1, стр. 6"
Мебель-корпус,+7 (968) 811-69-69,"119618, Боровское ш., 2А, корп. 1"
Нет названия,Нет номера,Нет адресса
Korpusmaster,+7 (965) 410-16-76,"121357, Верейская ул., 29"
Филипп-М,+7 (495) 741-87-32,"119361, Большая Очаковская ул., 47А, стр. 1"
Московские кресла,"8 (800) 200-51-92, +7 (495) 223-46-80","111033, ул. Золоторожский Вал, 4А, стр. 2"
Престиж,"+7 (929) 975-45-69, +7 (926) 437-11-99","МКАД, 47-й километр, с21"
Ремонт мебели,"+7 (499) 341-01-55, +7 (968) 822-61-06","121374, ул. Алексея Свиридова, 2"
Столярная мануфактура krasnoederevko.ru,+7 (905) 723-59-60,"121357, Верейская ул., 29"
Кухни за час,+7 (909) 670-66-74,"Рябиновая ул., 41"
МебельЭксперт,+7 (495) 969-39-66,"107143, ул. Николая Химушина, 2/7с41"
Класс мебель,+7 (963) 971-52-44,"Рублёвское ш., 101"
Монтли,+7 (495) 137-71-85,"107023, Электрозаводская ул., 21"
АргуМет,"+7 (499) 504-42-89, +7 (495) 585-92-50","127282, Полярная ул., 39, стр. 1"
Пуф,"+7 (929) 592-39-75, +7 (915) 327-42-65","129345, Осташковская ул., 16"
WoodnStone,+7 (985) 842-51-92,"105005, Бауманская ул., 6, стр. 2"
Лофт массив онлайн-гипермаркет мебели,"8 (804) 333-67-53, +7 (962) 887-02-26, +7 (963) 162-48-66","127282, Полярная ул., 41"
Коллекционный Дизайн,+7 (926) 165-83-61,"119034, Мансуровский пер., 10, стр. 2"
Уютная мебель,+7 (963) 973-14-87,"119121, Погодинская ул., 8"
Диваны express,"8 (800) 550-36-52, +7 (495) 665-11-32","117587, Кировоградская ул., 11, корп. 1"
Лантатика,+7 (965) 346-40-55,"115419, 3-й Донской пр., 1"
Metrix,+7 (499) 113-25-22,"117623, 2-я Мелитопольская ул., 21, корп. 2, Москва, Россия"
Уютная мебель,+7 (963) 973-14-87,"119002, ул. Арбат, 39"
МойПуфф,"8 (800) 707-95-38, +7 (495) 256-09-29","117218, ул. Дмитрия Ульянова, 42, стр. 4"
Мебельерра,+7 (910) 186-26-88,"117574, Профсоюзная ул., 129А"
Стиль комфорт,+7 (909) 678-67-04,"117587, Варшавское ш., 128, корп. 1"
Стиль комфорт,+7 (909) 678-67-04,"117525, Днепропетровская ул., 5, корп. 2"
Стиль комфорт,+7 (909) 678-67-04,"117545, Варшавское ш., 129, корп. 2"
Стиль комфорт,+7 (909) 678-67-04,"117534, Кировоградский пр., 3, корп. 2"
Элекс Групп,"+7 (926) 111-34-50, +7 (926) 111-34-57","119571, Ленинский просп., 119"
Avvapro,+7 (495) 767-17-27,"117587, Кировоградская ул., 11, корп. 1"
Класс мебель,+7 (963) 971-52-44,"119361, Озёрная ул., 9"
Стиль комфорт,+7 (909) 678-67-04,"117570, ул. Красного Маяка, 11, корп. 3"
Стиль комфорт,+7 (909) 678-67-04,"117405, Варшавское ш., 141, корп. 13"
Стиль комфорт,+7 (909) 678-67-04,"117570, Днепропетровская ул., 37, корп. 2"
"Кроваткинн, Аланта",+7 (495) 968-82-56,"119602, ул. Академика Анохина, 2, корп. 6"
Стиль комфорт,+7 (909) 678-67-04,"117405, Варшавское ш., 152, корп. 1, стр. 2"
Стиль комфорт,+7 (909) 678-67-04,"117519, ул. Красного Маяка, 8, корп. 1"
Woodvibe,+7 (495) 023-02-35,"119526, просп. Вернадского, 97, корп. 1"
Стиль комфорт,+7 (909) 678-67-04,"117519, Варшавское ш., 142, корп. 1"
Стиль комфорт,+7 (909) 678-67-04,"117405, ул. Газопровод, 9, корп. 2"
Стиль комфорт,+7 (909) 678-67-04,"117534, ул. Академика Янгеля, 3, корп. 1"
Стиль комфорт,+7 (909) 678-67-04,"117545, ул. Подольских Курсантов, 8, корп. 3"
Класс мебель,+7 (963) 971-52-44,"ул. Вавилова, 69А"
Стиль комфорт,+7 (909) 678-67-04,"117535, Россошанский пр., 4, корп. 1"
Фабрика Встроенной Мебели Гранд,+7 (499) 130-85-36,"117246, Научный пр., 19"
Нет названия,Нет номера,Нет адресса
Класс мебели,+7 (963) 971-52-44,"ул. Лобачевского, 118, корп. 1"
Стиль комфорт,+7 (909) 678-67-04,"117519, Кировоградская ул., 22"
Стиль комфорт,+7 (909) 678-67-04,"117519, Кировоградская ул., 24, корп. 1"
Dielle,+7 (495) 151-05-30,"117218, Нахимовский просп., 24"
Леонис,+7 (927) 270-77-89,"117342, ул. Обручева, 34/63"
Стиль комфорт,+7 (909) 678-67-04,"117534, Кировоградская ул., 40, корп. 2"
Класс мебель,+7 (963) 971-52-44,"119501, Староволынская ул., 15, корп. 1"
Нет названия,Нет номера,Нет адресса
Стиль комфорт,+7 (909) 678-67-04,"117587, Варшавское ш., 114, корп. 3, стр. 2"
Мебель-трансформер SmartFormi,+7 (495) 664-99-53,"117545, Варшавское ш., 129, корп. 2"
ОрехЭксперт,+7 (495) 143-62-85,"107143, ул. Николая Химушина, 2/7с38"
LakExpert,"+7 (495) 143-62-90, +7 (499) 113-66-70","107143, ул. Николая Химушина, 2/7с38"
ДиванФикс,+7 (499) 322-80-70,"127282, Полярная ул., 39, стр. 1"
Комфорт,+7 (495) 532-60-73,"105425, 3-я Парковая ул., 41А, стр. 1"
Абсолют Ремонт,+7 (495) 150-13-09,"117465, ул. Генерала Тюленева, 4А, стр. 3"
ГК Форвард-дизайн,+7 (909) 642-11-14,"117570, ул. Красного Маяка, 17, корп. 2"
Балкон Комплект,+7 (495) 213-91-49,"117545, Днепропетровский пр., 1"
Диван.ру,+7 (495) 745-27-20,"117535, Россошанский пр., 3"
Мебель Балконов Москвы,"+7 (495) 364-81-21, +7 (962) 909-19-92","117519, Кировоградская ул., 19"
Balito,+7 (965) 708-53-08,"117587, Кировоградская ул., 11, корп. 1"
Стол из слэба,"+7 (499) 390-56-60, +7 (906) 721-77-59","117452, Азовская ул., 32"
SoVintage.ru,+7 (903) 268-47-98,"117463, Новоясеневский просп., 42, стр. 9"
МебельРос24,+7 (916) 438-69-44,"МКАД, 33-й километр, 6"
"Фандора, офис","+7 (495) 104-38-33, +7 (495) 234-73-29","117534, ул. Академика Янгеля, 11, стр. 72"
РусМебел,"+7 (916) 844-52-59, +7 (499) 755-50-49","117624, Скобелевская ул., 23"
Дуди Вуди Дом,+7 (499) 350-11-15,"Калужское шоссе, 21-й километр, с1"
Романов-мебель,+7 (916) 951-08-59,"117216, Феодосийская ул., 1, корп. 1"
Склад слэбов,+7 (985) 924-55-85,"МКАД, 41-й километр, 4, стр. 28"
Dekor Elite,+7 (495) 969-77-14,"119021, Зубовский бул., 13, стр. 1"
Nook мебель,+7 (926) 608-77-65,"117519, Кировоградская ул., 15"
Уютная мебель,+7 (963) 973-14-87,"Старокрымская ул., 13, стр. 5"
Класс мебель,+7 (963) 971-52-44,"119048, Трубецкая ул., 8"
Класс мебель,+7 (963) 971-52-44,"119146, 2-я Фрунзенская ул., 12"
Стиль комфорт,+7 (909) 678-67-04,"Варшавское ш., 120, корп. 2"
Класс мебель,+7 (963) 971-52-44,"119034, Хилков пер., 5"
Класс мебель,+7 (963) 971-52-44,"119180, ул. Малая Полянка, 5"
Класс мебель,+7 (963) 971-52-44,"119034, Пречистенская наб., 7"
